Filename,AI_Percentage,AI_Word_Count
1235.txt,0.0,0
1237.txt,0.022153300841825433,1
1238.txt,0.0,0
1239.txt,1.5957446808510638,3
1240.txt,0.0,0
1242.txt,0.5263157894736842,9
1243.txt,0.0,0
1244.txt,0.3448275862068966,2
1245.txt,1.8072289156626504,12
1246.txt,0.0,0
1249.txt,9.935897435897436,31
125.txt,0.0,0
1250.txt,0.49019607843137253,5
1251.txt,0.0,0
1252.txt,0.0,0
1253.txt,0.0,0
1254.txt,0.0,0
1255.txt,4.433497536945813,36
1257.txt,0.0,0
1258.txt,6.22568093385214,16
1259.txt,0.18214936247723132,3
126.txt,7.006369426751593,11
1260.txt,0.1594896331738437,1
1261.txt,1.3157894736842104,5
1262.txt,0.47694753577106513,15
1263.txt,1.0526315789473684,2
1267.txt,0.0,0
1268.txt,0.0,0
1269.txt,0.0,0
127.txt,0.0,0
1270.txt,0.3472222222222222,3
1271.txt,0.0,0
1272.txt,0.0,0
1273.txt,0.0,0
1274.txt,0.31695721077654515,2
1275.txt,4.205607476635514,18
1276.txt,0.8366533864541833,21
1278.txt,0.2222222222222222,1
128.txt,0.0,0
1280.txt,0.21231422505307856,1
1281.txt,1.0033444816053512,3
1283.txt,0.0,0
1285.txt,2.4258760107816713,18
1286.txt,0.5649717514124294,2
1288.txt,0.2070393374741201,1
1289.txt,1.6556291390728477,10
129.txt,0.8547008547008548,6
1290.txt,0.0,0
1291.txt,0.0,0
1292.txt,0.0,0
1293.txt,0.0,0
1294.txt,0.0,0
1295.txt,1.9230769230769231,2
1296.txt,2.9598308668076108,14
1297.txt,5.274261603375527,25
1298.txt,0.0,0
1299.txt,0.0,0
13.txt,3.35195530726257,12
130.txt,0.0,0
1300.txt,1.1484098939929328,13
1301.txt,0.13597220123885784,9
1304.txt,0.0,0
1305.txt,7.30593607305936,16
1306.txt,0.0,0
1307.txt,4.273504273504273,5
1308.txt,0.0,0
131.txt,0.33222591362126247,7
1310.txt,0.2652519893899204,2
1311.txt,0.0,0
1314.txt,0.0,0
1315.txt,0.0,0
1316.txt,0.0,0
1317.txt,0.0,0
1318.txt,0.6140350877192983,7
1319.txt,4.112554112554113,19
1320.txt,3.6269430051813467,7
1321.txt,0.0,0
1322.txt,0.12562814070351758,1
1323.txt,0.0,0
1324.txt,0.3058103975535168,2
1325.txt,0.0,0
1327.txt,0.3472222222222222,2
1330.txt,0.056561085972850686,3
1332.txt,0.20833333333333334,1
1333.txt,0.0,0
1334.txt,0.3626943005181347,7
1335.txt,2.510460251046025,6
1338.txt,0.0,0
134.txt,0.7462686567164178,9
1341.txt,6.256860592755214,57
1342.txt,0.25380710659898476,1
1343.txt,0.005377066810055115,2
1344.txt,0.0,0
1345.txt,0.0,0
1346.txt,0.0,0
1347.txt,0.0,0
1348.txt,0.09157509157509157,1
1349.txt,2.3297491039426523,13
1351.txt,0.3861003861003861,2
1352.txt,0.11947431302270012,2
1353.txt,1.4492753623188406,1
1355.txt,2.1343873517786562,27
1356.txt,0.3401360544217687,1
1358.txt,0.0,0
1359.txt,0.0,0
136.txt,3.1914893617021276,3
1360.txt,4.0,2
1361.txt,14.285714285714285,2
1362.txt,0.8086253369272237,3
1364.txt,0.2222222222222222,1
1366.txt,0.0,0
1368.txt,0.0,0
1369.txt,0.0,0
137.txt,0.6956521739130435,8
1372.txt,0.5063291139240507,2
1374.txt,0.0,0
1375.txt,0.0,0
1376.txt,0.0,0
1377.txt,0.0,0
1378.txt,1.4577259475218658,5
1379.txt,0.0,0
138.txt,0.0,0
1380.txt,6.764705882352941,23
1381.txt,0.8310249307479225,3
1384.txt,1.4388489208633095,2
1385.txt,0.0,0
1386.txt,0.0,0
